,0
0,totalAssets_tiingo
1,totalAssets_alpha
2,totalAssets_eod
3,totalAssets_finnhub
4,assets_sharadar
5,totalAssets_financial
6,totalLiabilities_tiingo
7,totalLiabilities_alpha
8,totalLiab_eod
9,totalLiabilities_finnhub
10,liabilities_sharadar
11,totalLiabilities_financial
12,sga_tiingo
13,sellingGeneralAndAdministrative_alpha
14,sellingGeneralAdministrative_eod
15,sgaExpense_finnhub
16,sgna_sharadar
17,sellingGeneralAndAdministrativeExpenses_financial
18,rnd_tiingo
19,researchAndDevelopment_alpha
20,researchDevelopment_eod
21,researchDevelopment_finnhub
22,rnd_sharadar
23,researchAndDevelopmentExpenses_financial
24,ebitda_tiingo
25,ebitda_alpha
26,ebitda_eod
27,ebit_finnhub
28,ebitda_sharadar
29,ebitda_financial
30,deferredRev_tiingo
31,deferredRevenue_alpha
32,currentDeferredRevenue_eod
33,deferredTaxesInvestmentTaxCredit_finnhub
34,deferredrev_sharadar
35,deferredRevenue_financial
36,costRev_tiingo
37,costOfRevenue_alpha
38,costOfRevenue_eod
39,costOfGoodsSold_finnhub
40,cor_sharadar
41,costOfRevenue_financial
42,grossProfit_tiingo
43,grossProfit_alpha
44,grossProfit_eod
45,grossIncome_finnhub
46,gp_sharadar
47,grossProfit_financial
48,debtCurrent_tiingo
49,currentDebt_alpha
50,netDebt_eod
51,netDebt_finnhub
52,debtc_sharadar
53,netDebt_financial
54,investments_tiingo
55,investments_alpha
56,investments_eod
57,longTermInvestments_finnhub
58,investments_sharadar
59,totalInvestments_financial
60,ppeq_tiingo
61,propertyPlantEquipment_alpha
62,propertyPlantEquipment_eod
63,propertyPlantEquipment_finnhub
64,ppnenet_sharadar
65,propertyPlantEquipmentNet_financial
66,revenue_tiingo
67,totalRevenue_alpha
68,totalRevenue_eod
69,revenue_finnhub
70,revenue_sharadar
71,revenue_financial
72,intangibles_tiingo
73,intangibleAssets_alpha
74,intangibleAssets_eod
75,otherCurrentAssets_finnhub
76,intangibles_sharadar
77,intangibleAssets_financial
78,cashAndEq_tiingo
79,changeInCashAndCashEquivalents_alpha
80,cashAndEquivalents_eod
81,cashEquivalents_finnhub
82,cashneq_sharadar
83,cashAndCashEquivalents_financial
84,inventory_tiingo
85,inventory_alpha
86,inventory_eod
87,inventory_finnhub
88,inventory_sharadar
89,inventory_financial
90,accoci_tiingo
91,comprehensiveIncomeNetOfTax_alpha
92,accumulatedOtherComprehensiveIncome_eod
93,otherInvestingCashFlowItemsTotal_finnhub
94,accoci_sharadar
95,accumulatedOtherComprehensiveIncomeLoss_financial
96,acctPay_tiingo
97,currentAccountsPayable_alpha
98,accountsPayable_eod
99,accountsPayable_finnhub
100,payables_sharadar
101,accountsPayables_financial
102,investmentsAcqDisposals_tiingo
103,cashAndShortTermInvestments_alpha
104,cashAndShortTermInvestments_eod
105,cashShortTermInvestments_finnhub
106,cashneq_sharadar
107,cashAndShortTermInvestments_financial
108,netIncComStock_tiingo
109,commonStock_alpha
110,commonStock_eod
111,commonStock_finnhub
112,dps_sharadar
113,commonStock_financial
114,acctRec_tiingo
115,currentNetReceivables_alpha
116,netReceivables_eod
117,accountsReceivables_finnhub
118,receivables_sharadar
119,netReceivables_financial
120,capex_tiingo
121,capitalExpenditures_alpha
122,capitalExpenditures_eod
123,capex_finnhub
124,capex_sharadar
125,capitalExpenditure_financial
126,equity_tiingo
127,totalShareholderEquity_alpha
128,totalStockholderEquity_eod
129,liabilitiesShareholdersEquity_finnhub
130,equity_sharadar
131,totalStockholdersEquity_financial
132,opMargin_tiingo
133,changeInOperatingAssets_alpha
134,changeToOperatingActivities_eod
135,changesinWorkingCapital_finnhub
136,opinc_sharadar
137,changeInWorkingCapital_financial
