,ticker,date,quarter,totalAssets_tiingo,totalLiabilities_tiingo,sga_tiingo,rnd_tiingo,ebitda_tiingo,deferredRev_tiingo,costRev_tiingo,grossProfit_tiingo,debtCurrent_tiingo,investments_tiingo,ppeq_tiingo,revenue_tiingo,intangibles_tiingo,cashAndEq_tiingo,inventory_tiingo,accoci_tiingo,acctPay_tiingo,investmentsAcqDisposals_tiingo,netIncComStock_tiingo,acctRec_tiingo,capex_tiingo,equity_tiingo
1,AAPL,2022-09,0,352755000000.0,302083000000.0,25094000000.0,26251000000.0,133138000000.0,7912000000.0,223546000000.0,170782000000.0,21110000000.0,145463000000.0,42117000000.0,394328000000.0,0.0,23646000000.0,4946000000.0,-11109000000.0,64115000000.0,-9560000000.0,99803000000.0,60932000000.0,-10708000000.0,50672000000.0
1,AAPL,2022-06,3,336309000000.0,278202000000.0,6012000000.0,6797000000.0,26590000000.0,7728000000.0,47074000000.0,35885000000.0,24991000000.0,151806000000.0,40335000000.0,82959000000.0,0.0,27502000000.0,5433000000.0,-9297000000.0,48343000000.0,6953000000.0,19442000000.0,42242000000.0,-2102000000.0,58107000000.0
1,AAPL,2022-03,2,350662000000.0,283263000000.0,6193000000.0,6387000000.0,33567000000.0,7920000000.0,54719000000.0,42559000000.0,16658000000.0,164632000000.0,39304000000.0,97278000000.0,0.0,28098000000.0,5460000000.0,-6494000000.0,52682000000.0,-6390000000.0,25010000000.0,45400000000.0,-2514000000.0,67399000000.0
1,AAPL,2021-12,1,381191000000.0,309259000000.0,6449000000.0,6306000000.0,44632000000.0,7876000000.0,69702000000.0,54243000000.0,16169000000.0,165477000000.0,39245000000.0,123945000000.0,0.0,37119000000.0,5876000000.0,-927000000.0,74362000000.0,-12929000000.0,34630000000.0,65253000000.0,-2803000000.0,71932000000.0
1,AAPL,2021-09,0,351002000000.0,287912000000.0,21973000000.0,21914000000.0,123136000000.0,7612000000.0,212981000000.0,152836000000.0,15613000000.0,155576000000.0,39440000000.0,365817000000.0,0.0,34940000000.0,6580000000.0,163000000.0,54763000000.0,-3075000000.0,94680000000.0,51506000000.0,-11085000000.0,63090000000.0
1,AAPL,2021-06,3,329840000000.0,265560000000.0,5412000000.0,5717000000.0,27866000000.0,7681000000.0,46179000000.0,35255000000.0,16039000000.0,159594000000.0,38615000000.0,81434000000.0,0.0,34050000000.0,5178000000.0,58000000.0,40409000000.0,5747000000.0,21744000000.0,33908000000.0,-2093000000.0,64280000000.0
1,AAPL,2021-03,2,337158000000.0,267980000000.0,5314000000.0,5262000000.0,31478000000.0,7595000000.0,51505000000.0,38079000000.0,13003000000.0,165907000000.0,37815000000.0,89584000000.0,0.0,38466000000.0,5219000000.0,-286000000.0,40127000000.0,-7895000000.0,23630000000.0,33036000000.0,-2269000000.0,69178000000.0
1,AAPL,2020-12,1,354054000000.0,287830000000.0,5631000000.0,5163000000.0,36883000000.0,7395000000.0,67111000000.0,44328000000.0,12762000000.0,159561000000.0,37933000000.0,111439000000.0,0.0,36010000000.0,4973000000.0,179000000.0,63846000000.0,-5279000000.0,28755000000.0,58620000000.0,-3500000000.0,66224000000.0
1,AAPL,2020-09,0,323888000000.0,258549000000.0,19916000000.0,18752000000.0,81020000000.0,6643000000.0,169559000000.0,104956000000.0,13769000000.0,153814000000.0,36766000000.0,274515000000.0,0.0,38016000000.0,4061000000.0,-406000000.0,42296000000.0,5453000000.0,57411000000.0,37445000000.0,-7309000000.0,65339000000.0
1,AAPL,2020-06,3,317344000000.0,245062000000.0,4831000000.0,4758000000.0,16586000000.0,6313000000.0,37005000000.0,22680000000.0,18675000000.0,160234000000.0,35687000000.0,59685000000.0,0.0,33383000000.0,3978000000.0,-550000000.0,35325000000.0,-2992000000.0,11253000000.0,32075000000.0,-1565000000.0,72282000000.0
1,AAPL,2020-03,2,320400000000.0,241975000000.0,4952000000.0,4565000000.0,16678000000.0,5928000000.0,35943000000.0,22370000000.0,20421000000.0,152670000000.0,35889000000.0,58313000000.0,0.0,40174000000.0,3334000000.0,-2789000000.0,32421000000.0,11407000000.0,11249000000.0,30677000000.0,-1853000000.0,78425000000.0
1,AAPL,2019-12,1,340618000000.0,251087000000.0,5197000000.0,4451000000.0,29519000000.0,5573000000.0,56602000000.0,35217000000.0,15214000000.0,167290000000.0,37031000000.0,91819000000.0,0.0,39771000000.0,4097000000.0,-418000000.0,45111000000.0,-10396000000.0,22236000000.0,39946000000.0,-2107000000.0,89531000000.0
